"Reference","Value","Datasheet","Footprint","Qty","DNP","DigiKey","Mouser"
"IC30","74LS32N","http://www.ti.com/lit/gpn/sn74LS32","Package_DIP:DIP-14_W7.62mm","1","","296-1658-5-ND",""
"IC31","74LS02N","http://www.ti.com/lit/gpn/sn74ls02","Package_DIP:DIP-14_W7.62mm","1","","296-1627-5-ND",""
"IC32","74LS390","http://www.ti.com/lit/gpn/sn74LS390","Package_DIP:DIP-16_W7.62mm","1","","296-26516-5-ND",""
"IC33","74LS138N","http://www.ti.com/lit/gpn/sn74LS138","Package_DIP:DIP-16_W7.62mm","1","","296-1639-5-ND",""
"IC34","MC14050BCP","https://media.digikey.com/pdf/Data%20Sheets/ON%20Semiconductor%20PDFs/MC14049B,50B_Rev7.pdf","Package_DIP:DIP-16_W7.62mm","1","","296-2056-ND",""
"JP1-2","1 low","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","","538-22-28-5033"
"JP3-4,JP5-6,JP7-8,JP9-10","16k/32k","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","4","","","538-22-28-5033"
"JP11-12","printer/comms","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","","538-22-28-5033"
"JP13-14","32k/64k","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","","538-22-28-5033"
"L1,L2,L3,L4","3.3uH","~","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC","4","","495-5561-1-ND",""
"PL1","Dragon Keyboard","~","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","1","","952-2521-ND",""
"PL2","Printer","https://media.digikey.com/pdf/Data%20Sheets/CW%20Industries%20PDFs/CWN-300%20Ordering.pdf","Connector_IDC:IDC-Header_2x10-1MP_P2.54mm_Latch_Horizontal","1","","CHR20G-ND",""
"PL3","DIN-6 J/S R","https://www.dem-uk.com/deltron-components/Data/Product_Downloads/deltron-671-0501-5-way-din-socket-data.pdf","Dragon:DIN-6_DELTRON_671-0601_Horizontal","1","","CP-7060-ND",""
"PL4","DIN-5 (180) Cassette","https://www.dem-uk.com/deltron-components/Data/Product_Downloads/deltron-671-0501-5-way-din-socket-data.pdf","Dragon:DIN-5_DELTRON_671-0501_45deg_Horizontal","1","","CP-7050-ND",""
"PL5","DIN-6 J/S L","https://www.dem-uk.com/deltron-components/Data/Product_Downloads/deltron-671-0501-5-way-din-socket-data.pdf","Dragon:DIN-6_DELTRON_671-0601_Horizontal","1","","CP-7060-ND",""
"PL6","Power Board Interconnect","https://app.adam-tech.com/products/download/data_sheet/241222/lhd-xx-ts-data-sheet.pdf","Connector_Molex:Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical","1","","2057-LHD-09-TS-ND",""
"PL7","EDAC 392-040-558-201","https://files.edac.net/edac/content/342/342-040-558-212%20-%20EDAC%20Card%20Edge%20Connector.PDF","Dragon:Edge_2x20_P2.54mm_OvalMP","1","","151-342-040-558-201-ND","587-342-040-558-201"
"PL8","video","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","","538-22-28-4024"
"PL9","CoCo Keyboard","~","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","1","","","538-22-28-8161"
"R1","100R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT100RCT-ND",""
"R2,R5,R6,R49,R54","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5","","CF14JT1K00CT-ND",""
"R3,R68","5K6","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","CF14JT5K60CT-ND",""
"R4","3K3","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT3K30CT-ND",""
"R7","22K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT22K0CT-ND",""
"R8,R9","270R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","CF14JT270RCT-ND",""
"R10,R11,R65","2K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","","CF14JT2K70CT-ND",""
"R12,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28","22R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","11","","CF14JT22R0CT-ND",""
"R13,R14,R30,R31,R32,R38,R39,R40,R41,R63","4K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","10","","CF14JT4K70CT-ND",""
"R15,R36,R64","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3","","CF14JT100KCT-ND",""
"R16","33K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT33K0CT-ND",""
"R17,R18,R42,R43,R55,R56","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6","","CF14JT10K0CT-ND",""
"R29","68K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT68K0CT-ND",""
"R33","1K8","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT3K30CT-ND",""
"R34,R47","8K2","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","CF14JT8K20CT-ND",""
"R35","12K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT15K0CT-ND",""
"R37,R66","1K5","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","CF14JT1K50CT-ND",""
"R44","27K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT27K0CT-ND",""
"R45","6K8","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT6K80CT-ND",""
"R46","220R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT220RCT-ND",""
"R48","15K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT15K0CT-ND",""
"R50,R52","56K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","","CF14JT56K0CT-ND",""
"R51","1M5","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT1M50CT-ND",""
"R53","10M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT10M0CT-ND",""
"R57","20K 1%","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","RNF14FTD20K0CT-ND",""
"R58","80K6 1%","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","RNF14FTD80K6CT-ND",""
"R59","160K 1%","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","S160CACT-ND",""
"R60","330K 1%","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","S330KCACT-ND",""
"R61","40K2 1%","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","RNF14FTD41K2CT-ND",""
"R62","10K 1%","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","RNF14FTD10K0CT-ND",""
"R67","1K2","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT1K20CT-ND",""
"R69","330R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT330RCT-ND",""
"R76","10R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","","CF14JT10R0CT-ND",""
"RL1","OJS HM FORM A","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=OJS_10A&DocType=DS&DocLang=English","Dragon:OJS HM 10A Relay","1","","41-OJS-SH-105HMF,00000-ND",""
"RV1","10K","~","Potentiometer_THT:Potentiometer_Bourns_3386X_Horizontal","1","","3386C-103LF-ND",""
"RV3","470R","~","Potentiometer_THT:Potentiometer_Bourns_3386X_Horizontal","1","","3386H-103LF-ND",""
"SW1","RESET","https://www.ckswitches.com/media/1402/fpush.pdf","Dragon:Button_AlpsAlpine_SPUN190900","1","","401-1225-ND",""
"TR1","BC141","https://alltransistors.com/adv/pdfview.php?doc=bc140_bc141_cnv_2.pdf&dire=_philips","Package_TO_SOT_THT:TO-92_Inline_Wide","1","","SS8050DTACT-ND",""
"TR2,TR3","2N4401","http://www.farnell.com/datasheets/296634.pdf","Package_TO_SOT_THT:TO-92_Inline","2","","2N4401D26ZCT-ND",""
"TR4","2N3906","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1","","2N3906D26ZCT-ND",""
"XL1","4.433619MHz","https://www.we-online.com/catalog/datasheet/830003099B.pdf","Crystal:Crystal_HC49-U_Horizontal","1","","1923-830003099B-ND",""
"XL2","14.31818MHz","https://www.ctscorp.com/wp-content/uploads/MP.pdf","Crystal:Crystal_HC49-U_Horizontal","1","","CTX088-ND",""
